stage_order,stage_code,stage_label,round_number,round_name,analysis_position,position_rank,event_id,player_id,player_name,national_team_name,opponent_team_name,home_team_name,away_team_name,home_score,away_score,appearance_type,is_starter,stat_minutesPlayed,stat_rating,stat_goals,stat_goalAssist,stat_expectedGoals,stat_expectedAssists
3,GROUP_MD3,Grup 3. Maçları,3,,M,6,15186822,135666,Leandro Trossard,Belgium,New Zealand,New Zealand,Belgium,1.0,5.0,starter,True,72.0,8.8,2.0,0.0,1.2306,0.630853
3,GROUP_MD3,Grup 3. Maçları,3,,M,7,15186864,1126569,Bilal El Khannouss,Morocco,Haiti,Morocco,Haiti,4.0,2.0,starter,True,90.0,8.7,0.0,0.0,0.0858,0.529203
3,GROUP_MD3,Grup 3. Maçları,3,,M,8,15186624,1091303,Petar Sučić,Croatia,Ghana,Croatia,Ghana,2.0,1.0,starter,True,90.0,8.6,1.0,0.0,0.0376,0.0920778
3,GROUP_MD3,Grup 3. Maçları,3,,M,9,15186771,1389846,Lamine Camara,Senegal,Iraq,Senegal,Iraq,5.0,0.0,starter,True,57.0,8.3,0.0,1.0,0.0046,0.836694
3,GROUP_MD3,Grup 3. Maçları,3,,M,10,15186887,1014845,Sebastian Berhalter,USA,Türkiye,Türkiye,USA,3.0,2.0,starter,True,90.0,8.2,1.0,1.0,0.0543,0.205955
4,R32,Son 32,6,Round of 32,D,1,12812999,859999,Lisandro Martínez,Argentina,Cabo Verde,Argentina,Cabo Verde,3.0,2.0,starter,True,120.0,9.2,1.0,1.0,0.0517,0.472376
4,R32,Son 32,6,Round of 32,D,2,12813004,913654,Pedro Porro,Spain,Austria,Spain,Austria,3.0,0.0,starter,True,90.0,8.4,1.0,0.0,0.5267,0.0979161
4,R32,Son 32,6,Round of 32,D,3,12813004,794939,Marc Cucurella,Spain,Austria,Spain,Austria,3.0,0.0,starter,True,90.0,8.3,0.0,2.0,0.0,0.368317
4,R32,Son 32,6,Round of 32,D,4,12813014,259117,Joshua Kimmich,Germany,Paraguay,Germany,Paraguay,4.0,5.0,starter,True,120.0,8.0,0.0,0.0,0.1171,0.113682
4,R32,Son 32,6,Round of 32,D,5,12813014,877452,José Canale,Paraguay,Germany,Germany,Paraguay,4.0,5.0,starter,True,120.0,8.0,0.0,0.0,0.0,0.0002266
4,R32,Son 32,6,Round of 32,D,6,12813012,869792,Gabriel Magalhães,Brazil,Japan,Brazil,Japan,2.0,1.0,starter,True,90.0,7.9,0.0,1.0,0.0,0.447248
4,R32,Son 32,6,Round of 32,D,7,12813004,1402913,Pau Cubarsí,Spain,Austria,Spain,Austria,3.0,0.0,starter,True,90.0,7.9,0.0,0.0,0.0,0.0224229
4,R32,Son 32,6,Round of 32,D,8,12813011,566102,Davinson Sánchez,Colombia,Ghana,Colombia,Ghana,1.0,0.0,starter,True,90.0,7.8,0.0,0.0,0.2505,0.0167697
4,R32,Son 32,6,Round of 32,D,9,12813012,155995,Marquinhos,Brazil,Japan,Brazil,Japan,2.0,1.0,starter,True,90.0,7.8,0.0,0.0,0.0,0.154558
