player_id,player_name,team_name,matches_with_heatmap,heatmap_point_count,grid_x,grid_y,npz_key
325061,Nikola Vasilj,Bosnia & Herzegovina,4,216,21,14,325061
843114,Julián Quiñones,Mexico,4,216,21,14,843114
1888002,Christ Inao Oulaï,Côte d'Ivoire,4,216,21,14,1888002
961684,Anass Salah-Eddine,Morocco,4,214,21,14,961684
904897,Ryan Gravenberch,Netherlands,4,212,21,14,904897
973437,Odilon Kossounou,Côte d'Ivoire,4,203,21,14,973437
862967,Cody Gakpo,Netherlands,4,202,21,14,862967
181581,Jackson Irvine,Australia,4,199,21,14,181581
593526,Nicolas Pépé,Côte d'Ivoire,4,197,21,14,593526
599192,Lionel Mpasi Nzau,DR Congo,4,195,21,14,599192
8959,Manuel Neuer,Germany,4,192,21,14,8959
918913,Hamdy Fathy,Egypt,4,190,21,14,918913
282073,Alexander Schlager,Austria,4,188,21,14,282073
333373,Miguel Almirón,Paraguay,4,187,21,14,333373
52797,Ryan Mendes,Cabo Verde,4,186,21,14,52797
74915,Nicolás Otamendi,Argentina,4,186,21,14,74915
190419,Dominik Livaković,Croatia,4,186,21,14,190419
815080,Jamiro Monteiro,Cabo Verde,4,185,21,14,815080
1464966,Rayan,Brazil,4,185,21,14,1464966
1425366,Kerim Alajbegović,Bosnia & Herzegovina,4,184,21,14,1425366
994363,Bart Verbruggen,Netherlands,4,183,21,14,994363
905352,Keito Nakamura,Japan,4,182,21,14,905352
1177240,Patrick Beach,Australia,4,182,21,14,1177240
845286,Ismaïla Sarr,Senegal,4,180,21,14,845286
913679,Pathé Ismaël Ciss,Senegal,4,180,21,14,913679
790965,Ritsu Doan,Japan,4,179,21,14,790965
1171539,Noah Sadiki,DR Congo,4,179,21,14,1171539
830127,Romano Schmid,Austria,4,176,21,14,830127
905351,Zion Suzuki,Japan,4,175,21,14,905351
1172773,Luis Romo,Mexico,4,175,21,14,1172773
805137,Omar Alderete,Paraguay,4,172,21,14,805137
984505,Oswin Appollis,South Africa,4,172,21,14,984505
921089,Deroy Duarte,Cabo Verde,4,170,21,14,921089
1102659,Benjamin Tahirović,Bosnia & Herzegovina,4,170,21,14,1102659
287833,Steven Moreira,Cabo Verde,4,169,21,14,287833
888854,Connor Metcalfe,Australia,4,169,21,14,888854
783278,Junya Ito,Japan,4,165,21,14,783278
817957,Christian Pulišić,USA,4,165,21,14,817957
1116571,Nilson Angulo,Ecuador,4,165,21,14,1116571
805123,Yoane Wissa,DR Congo,4,164,21,14,805123
877977,Yahia Fofana,Côte d'Ivoire,4,164,21,14,877977
934354,Antoine Semenyo,Ghana,4,164,21,14,934354
934409,Marcus Pedersen,Norway,4,163,21,14,934409
804508,Viktor Gyökeres,Sweden,4,162,21,14,804508
1014410,Thalente Mbatha,South Africa,4,162,21,14,1014410
1464637,Ali Ahmed,Canada,4,160,21,14,1464637
295361,Mahmoud Trézéguet,Egypt,4,157,21,14,295361
1411105,Paul Okon-Engstler,Australia,4,152,21,14,1411105
1146018,Paul Wanner,Austria,4,150,21,14,1146018
283833,Ivan Šunjić,Bosnia & Herzegovina,4,149,21,14,283833
971037,Amad Diallo,Côte d'Ivoire,4,149,21,14,971037
1986794,Caleb Yirenkyi,Ghana,4,148,21,14,1986794
1914576,Gilberto Mora,Mexico,4,147,21,14,1914576
103045,Jordan Ayew,Ghana,4,146,21,14,103045
917005,Crysencio Summerville,Netherlands,4,145,21,14,917005
588618,Hernán Galíndez,Ecuador,4,144,21,14,588618
973436,Matthew Freese,USA,4,144,21,14,973436
1391251,Lucas Bergvall,Sweden,4,144,21,14,1391251
905639,Kwasi Sibo,Ghana,4,142,21,14,905639
878081,Ermedin Demirović,Bosnia & Herzegovina,4,140,21,14,878081
799054,Djibril Sow,Switzerland,4,139,21,14,799054
1136110,Esmir Bajraktarević,Bosnia & Herzegovina,4,135,21,14,1136110
750,Cristiano Ronaldo,Portugal,4,132,21,14,750
1590918,Ibrahim Mbaye,Senegal,4,132,21,14,1590918
964994,Joško Gvardiol,Croatia,4,131,21,14,964994
986233,Mauricio,Paraguay,4,130,21,14,986233
252821,Nélson Semedo,Portugal,4,128,21,14,252821
1391541,Ngal'ayel Mukau,DR Congo,4,127,21,14,1391541
850891,Michel Aebischer,Switzerland,4,126,21,14,850891
905347,Yukinari Sugawara,Japan,4,126,21,14,905347
934237,Folarin Balogun,USA,4,125,21,14,934237
1129610,Amar Memić,Bosnia & Herzegovina,4,124,21,14,1129610
1518931,Johan Manzambi,Switzerland,4,124,21,14,1518931
985823,Ayase Ueda,Japan,4,122,21,14,985823
1085381,Nicolas Jackson,Senegal,4,122,21,14,1085381
